user_id,session_id,device_type,click_events,scroll_events,touch_events,keyboard_events,device_motion,time_on_page,screen_size,browser_info,language,timezone_offset,device_orientation,geolocation_city,transaction_amount,transaction_date,mouse_movement
user_173,session_2083,Mobile,3,10,3,23,0.83,177,414x896,Firefox,hi-IN,-330,landscape,Ahmedabad,3100.87,2025-06-26 16:41:19,68
user_150,session_1808,Mobile,3,3,0,7,0.0,88,390x844,Firefox,en-IN,-330,landscape,Kolkata,5744.59,2025-01-22 18:19:45,0
user_693,session_8318,Mobile,9,3,3,9,0.83,177,414x896,Safari,en-IN,-330,portrait,Delhi,3441.73,2025-01-29 17:09:04,59
user_306,session_3675,Desktop,6,10,0,9,0.0,146,1366x768,Firefox,hi-IN,-330,landscape,Pune,2995.33,2025-01-24 18:37:22,348
user_701,session_8424,Tablet,5,12,8,11,0.16,188,768x1024,Safari,en-IN,-330,landscape,Kolkata,1847.39,2025-04-02 09:34:22,40
user_308,session_3697,Desktop,8,7,0,6,0.0,117,1366x768,Safari,en-US,-330,landscape,Pune,2880.72,2025-04-09 13:35:32,415
user_524,session_6293,Desktop,9,7,0,22,0.0,262,1440x900,Firefox,en-IN,-330,landscape,Mumbai,1475.44,2025-02-24 15:09:33,267
user_615,session_7390,Desktop,3,0,0,13,0.0,177,1366x768,Firefox,en-IN,-330,landscape,Pune,3710.14,2025-01-30 12:55:10,238
user_478,session_5745,Desktop,3,4,0,18,0.0,231,1920x1080,Safari,en-US,-330,landscape,Bengaluru,278.83,2025-05-22 14:27:08,161
user_486,session_5843,Desktop,7,4,0,14,0.0,138,1366x768,Chrome,en-IN,-330,landscape,Chennai,4155.82,2025-01-02 09:39:41,391
user_628,session_7542,Desktop,7,6,0,12,0.0,67,1366x768,Edge,en-IN,-330,landscape,Chennai,3985.15,2025-02-04 18:20:48,526
user_504,session_6060,Desktop,0,3,0,15,0.0,131,1920x1080,Safari,en-IN,-330,landscape,Ahmedabad,1196.85,2025-06-03 16:06:15,333
user_717,session_8615,Desktop,12,4,0,18,0.0,65,1440x900,Safari,hi-IN,-330,landscape,Ahmedabad,6246.77,2025-01-16 17:15:08,231
user_89,session_1078,Desktop,2,11,0,12,0.0,167,1440x900,Edge,en-IN,-330,landscape,Pune,4479.86,2025-04-19 18:02:18,383
user_518,session_6223,Desktop,0,16,0,2,0.0,69,1920x1080,Edge,en-US,-330,landscape,Delhi,2861.22,2025-05-17 22:44:57,374
user_341,session_4094,Mobile,5,13,0,13,0.03,159,360x640,Firefox,en-IN,-330,landscape,Pune,6215.53,2025-01-19 08:02:20,35
user_45,session_549,Desktop,2,4,0,14,0.0,54,1440x900,Safari,en-IN,-330,landscape,Pune,2117.44,2025-04-16 07:44:09,136
user_711,session_8541,Desktop,3,7,0,3,0.0,177,1440x900,Firefox,en-IN,-330,landscape,Delhi,5368.76,2025-04-11 17:15:19,217
user_290,session_3482,Desktop,6,3,0,12,0.0,147,1920x1080,Edge,en-IN,-330,landscape,Kolkata,10253.95,2025-04-15 16:42:47,208
user_544,session_6539,Tablet,10,4,2,15,0.78,143,768x1024,Safari,en-US,-330,portrait,Kolkata,3466.24,2025-06-26 16:16:03,32
user_566,session_6797,Desktop,0,8,0,10,0.0,94,1440x900,Chrome,en-IN,-330,landscape,Hyderabad,9763.57,2025-01-24 14:35:31,237
user_683,session_8206,Desktop,6,12,0,13,0.0,206,1366x768,Firefox,en-IN,-330,landscape,Hyderabad,3149.05,2025-04-24 23:00:58,577
user_123,session_1483,Mobile,6,2,2,17,0.78,220,390x844,Firefox,en-IN,-330,portrait,Bengaluru,6550.66,2025-04-13 09:06:30,18
user_370,session_4449,Desktop,9,7,0,15,0.0,76,1920x1080,Firefox,en-IN,-330,landscape,Hyderabad,6077.08,2025-03-17 18:56:38,207
