user_id,session_id,device_type,click_events,scroll_events,touch_events,keyboard_events,device_motion,time_on_page,screen_size,browser_info,language,timezone_offset,device_orientation,geolocation_city,transaction_amount,transaction_date,mouse_movement,label,persona
user_178,session_1783,Desktop,2,7,0,15,0.0,112,1920x1080,Safari,en-US,-330,landscape,Mumbai,1216.3,2025-01-07 07:02:45,328,0,normal
user_391,session_3918,Desktop,2,4,0,17,0.0,156,1440x900,Edge,en-IN,-330,landscape,Delhi,1888.12,2025-01-04 23:18:25,305,0,normal
user_22,session_222,Mobile,1,13,2,20,0.35,206,414x896,Safari,en-IN,-330,portrait,Ahmedabad,525.07,2025-03-12 12:55:31,27,0,normal
user_213,session_2136,Desktop,4,6,0,10,0.0,253,1366x768,Chrome,en-IN,-330,landscape,Hyderabad,4111.49,2025-02-07 15:29:41,205,0,normal
user_522,session_5225,Desktop,2,6,0,4,0.0,68,1920x1080,Firefox,hi-IN,-330,landscape,Pune,3579.22,2025-03-07 07:23:47,403,0,normal
user_116,session_1169,Mobile,3,1,0,11,0.76,183,414x896,Chrome,en-IN,-330,landscape,Delhi,4995.91,2025-05-15 23:25:28,76,0,normal
user_87,session_880,Mobile,3,0,7,4,0.68,208,414x896,Firefox,en-IN,-330,portrait,Mumbai,7702.58,2025-01-15 19:06:09,36,0,normal
user_15,session_157,Desktop,1,6,0,22,0.0,213,1440x900,Safari,hi-IN,-330,landscape,Ahmedabad,10441.0,2025-02-08 14:37:54,463,0,normal
user_165,session_1658,Tablet,7,7,0,20,0.05,118,810x1080,Edge,en-IN,-330,landscape,Pune,4474.99,2025-05-10 17:20:14,48,0,normal
user_32,session_324,Desktop,3,2,0,8,0.0,270,1920x1080,Firefox,en-IN,-330,landscape,Pune,5575.41,2025-01-24 12:44:32,130,0,normal
user_530,session_5303,Desktop,2,1,0,17,0.0,34,1920x1080,Firefox,en-US,-330,landscape,Bengaluru,2688.56,2025-02-24 11:24:12,448,0,normal
user_261,session_2612,Mobile,13,12,13,14,0.61,240,414x896,Safari,en-US,-330,landscape,Ahmedabad,2608.33,2025-04-08 22:52:13,75,0,normal
user_81,session_812,Tablet,5,5,6,31,0.56,130,768x1024,Safari,en-IN,-330,portrait,Pune,2474.54,2025-04-27 19:24:10,51,0,normal
user_39,session_394,Desktop,0,8,0,7,0.0,94,1440x900,Edge,en-US,-330,landscape,Hyderabad,5876.76,2025-04-24 23:40:04,110,0,normal
user_359,session_3594,Desktop,3,16,0,11,0.0,136,1366x768,Chrome,en-US,-330,landscape,Hyderabad,761.97,2025-01-05 15:30:16,411,0,normal
user_263,session_2639,Mobile,7,3,4,1,0.49,255,390x844,Firefox,hi-IN,-330,portrait,Chennai,5471.1,2025-03-14 18:33:07,37,0,normal
user_218,session_2188,Desktop,3,8,0,15,0.0,212,1366x768,Edge,hi-IN,-330,landscape,Chennai,2724.99,2025-04-09 18:02:06,307,0,normal
user_535,session_5352,Tablet,11,17,5,10,0.67,189,810x1080,Safari,en-IN,-330,landscape,Kolkata,6497.3,2025-05-17 08:23:39,42,0,normal
user_31,session_320,Desktop,3,2,0,2,0.0,93,1366x768,Safari,en-IN,-330,landscape,Delhi,4772.6,2025-03-04 09:32:29,46,0,normal
user_16,session_168,Mobile,7,5,4,9,0.81,143,360x640,Firefox,en-IN,-330,portrait,Hyderabad,3025.34,2025-03-19 11:34:23,27,0,normal
user_74,session_747,Desktop,7,5,0,9,0.0,140,1366x768,Firefox,en-IN,-330,landscape,Ahmedabad,645.01,2025-05-02 04:55:40,514,0,normal
user_547,session_5471,Desktop,5,4,0,19,0.0,197,1920x1080,Firefox,en-IN,-330,landscape,Ahmedabad,4512.8,2025-05-04 13:28:21,240,0,normal
user_370,session_3708,Desktop,5,12,0,16,0.0,130,1440x900,Firefox,en-IN,-330,landscape,Pune,11729.05,2025-02-16 12:43:52,494,0,normal
user_276,session_2765,Tablet,5,12,4,20,0.0,119,768x1024,Safari,en-IN,-330,portrait,Delhi,3531.12,2025-03-12 11:54:39,20,0,normal
user_511,session_5113,Mobile,8,0,4,20,0.21,203,360x640,Chrome,en-IN,-330,landscape,Pune,3695.56,2025-01-18 07:02:59,51,0,normal
user_400,session_4007,Desktop,1,0,0,4,0.0,51,1366x768,Firefox,en-IN,-330,landscape,Hyderabad,4131.62,2025-01-02 21:13:10,249,0,normal
user_187,session_1872,Desktop,4,4,0,0,0.0,36,1920x1080,Safari,en-IN,-330,landscape,Kolkata,2078.93,2025-01-24 23:45:14,131,0,normal
user_575,session_5757,Mobile,4,7,7,22,0.93,81,360x640,Edge,en-IN,-330,portrait,Chennai,2718.79,2025-02-12 19:04:15,46,0,normal
user_319,session_3194,Desktop,1,7,0,6,0.0,88,1920x1080,Safari,hi-IN,-330,landscape,Kolkata,487.33,2025-04-28 09:42:49,124,0,normal
user_375,session_3755,Desktop,6,3,0,10,0.0,80,1440x900,Firefox,hi-IN,-330,landscape,Pune,4275.22,2025-02-12 08:59:29,281,0,normal
user_562,session_5626,Desktop,6,5,0,0,0.0,208,1366x768,Safari,en-IN,-330,landscape,Kolkata,822.83,2025-01-21 08:14:11,419,0,normal
user_489,session_4895,Desktop,6,9,0,0,0.0,74,1440x900,Firefox,en-IN,-330,landscape,Ahmedabad,820.86,2025-05-15 18:51:56,167,0,normal
user_410,session_4103,Mobile,0,2,8,14,0.4,92,414x896,Edge,en-IN,-330,portrait,Hyderabad,5903.31,2025-05-08 17:24:52,27,0,normal
user_126,session_1262,Desktop,5,4,0,14,0.0,294,1366x768,Chrome,en-IN,-330,landscape,Delhi,547.87,2025-01-01 11:53:57,247,0,normal
user_233,session_2339,Desktop,0,7,0,15,0.0,84,1366x768,Firefox,hi-IN,-330,landscape,Mumbai,3061.32,2025-04-20 18:10:12,423,0,normal
user_8,session_85,Mobile,0,11,5,16,1.31,97,390x844,Firefox,en-US,-330,landscape,Bengaluru,1015.43,2025-02-10 19:54:06,11,0,normal
user_382,session_3822,Desktop,1,7,0,12,0.0,155,1920x1080,Edge,en-IN,-330,landscape,Pune,9081.28,2025-01-23 15:24:47,351,0,normal
user_265,session_2654,Mobile,7,8,11,17,0.59,53,360x640,Firefox,en-IN,-330,landscape,Chennai,348.74,2025-02-17 14:06:46,51,0,normal
user_554,session_5546,Desktop,5,7,0,10,0.0,161,1920x1080,Firefox,en-IN,-330,landscape,Chennai,1609.82,2025-03-18 23:40:40,356,0,normal
user_274,session_2747,Mobile,10,8,11,20,1.06,139,390x844,Safari,en-IN,-330,landscape,Pune,4158.86,2025-02-01 10:40:01,23,0,normal
user_285,session_2859,Mobile,2,10,0,10,0.96,68,390x844,Safari,hi-IN,-330,landscape,Pune,2485.46,2025-04-24 18:21:03,48,0,normal
user_99,session_997,Mobile,4,10,4,18,0.92,169,360x640,Chrome,en-IN,-330,landscape,Pune,462.02,2025-03-04 19:04:06,11,0,normal
user_22,session_229,Mobile,3,5,9,14,0.14,214,414x896,Safari,en-IN,-330,portrait,Ahmedabad,127.12,2025-01-23 15:00:41,28,0,normal
user_326,session_3265,Desktop,2,4,0,17,0.0,209,1440x900,Safari,en-IN,-330,landscape,Bengaluru,1336.13,2025-02-23 07:39:01,75,0,normal
user_482,session_4829,Desktop,0,5,0,23,0.0,70,1920x1080,Firefox,en-US,-330,landscape,Kolkata,2379.0,2025-04-15 23:42:49,126,0,normal
user_394,session_3943,Desktop,10,6,1,0,1.01,236,1440x900,Chrome,en-IN,-330,landscape,Delhi,5107.38,2025-05-24 18:00:56,16,1,account_takeover
user_545,session_5460,Desktop,3,4,0,17,0.0,98,1440x900,Chrome,en-IN,-330,landscape,Bengaluru,1048.33,2025-01-30 10:49:30,381,0,normal
user_383,session_3833,Tablet,10,13,9,25,0.7,106,768x1024,Chrome,en-IN,-330,landscape,Chennai,5778.11,2025-04-02 22:11:23,43,0,normal
user_165,session_1653,Tablet,6,8,1,13,0.35,71,810x1080,Edge,en-IN,-330,portrait,Pune,3706.46,2025-03-15 18:27:41,37,0,normal
user_7,session_80,Desktop,5,3,0,10,0.0,78,1366x768,Edge,en-IN,-330,landscape,Bengaluru,321.95,2025-05-26 14:43:27,289,0,normal
user_96,session_965,Tablet,6,7,7,17,0.54,187,768x1024,Safari,en-US,-330,portrait,Hyderabad,6514.83,2025-05-14 08:39:46,45,0,normal
user_92,session_927,Tablet,5,11,8,21,0.39,111,810x1080,Firefox,en-IN,-330,portrait,Ahmedabad,8294.81,2025-05-10 18:00:59,23,0,normal
